"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 18:32:44 GMT 2022","Fri Aug 26 18:32:44 GMT 2022","9","","guru.qa.LabelsTest","","guru.qa.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Fri Aug 26 18:32:55 GMT 2022","Fri Aug 26 18:32:57 GMT 2022","2535","","guru.qa.StepsTest","","guru.qa.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Fri Aug 26 18:32:44 GMT 2022","Fri Aug 26 18:32:52 GMT 2022","7662","","guru.qa.SelenideTest","","guru.qa.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Fri Aug 26 18:32:52 GMT 2022","Fri Aug 26 18:32:55 GMT 2022","2847","","guru.qa.StepsTest","","guru.qa.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Fri Aug 26 18:32:44 GMT 2022","Fri Aug 26 18:32:44 GMT 2022","9","","guru.qa.LabelsTest","","guru.qa.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Fri Aug 26 18:32:40 GMT 2022","Fri Aug 26 18:32:44 GMT 2022","3908","","guru.qa.AttachmentsTest","","guru.qa.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Fri Aug 26 18:32:34 GMT 2022","Fri Aug 26 18:32:40 GMT 2022","5607","","guru.qa.AttachmentsTest","","guru.qa.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
